,x,y,w,h,r,rx,ry
0,0,1.15,,,3,1.5,0.8
1,1.25,0.55,,,5,3,1
2,2.4,0.05,,,5,0.7,-0.2
3,3.5,0.35,,,5,0.9,-0.2
4,4.6,0.35,,,5,0.9,-0.2
5,8.6,0.65,,,-5,10,1.3
6,9.7,0.65,,,-5,9.7,1.3
7,10.8,0.25,,,-5,10.8,0.9
8,11.9,0.35,,,-5,12.5,1
9,13.1,0.35,,,-3,25.5,0.9
10,0,2.2,,,3,0.8,0.8
11,1.3,1.4,,,5,0.3,-0.2
12,2.4,1.1,,,5,0.4,-0.2
13,3.5,1.4,,,5,0.4,-0.2
14,4.6,1.4,,,5,0.5,-0.2
15,8.7,1.7,,,-5,10.5,2.3
16,9.8,1.7,,,-5,10.1,2.3
17,10.91,1.3,,,-5,11.2,1.9
18,12,1.4,,,-5,12.9,2
19,13.2,1.4,,,-3,26.25,3.1
20,0,3.2,,,3,0,1.1
21,1.3,2.4,,,5,0,0
22,2.4,2.1,,,5,0,0
23,3.5,2.4,,,5,0,0
24,4.6,2.4,,,5,0,0
25,8.8,2.7,,,-5,11,3.5
26,9.9,2.7,,,-5,10.5,3.5
27,11,2.3,,,-5,11.6,3
28,12.1,2.4,,,-5,13.3,3.1
29,13.2,2.4,,,-3,27,3.2
30,4,4.4,,,41,4.6,4.8
31,4.8,5.5,,,68,5.5,6
32,5.5,6.9,,,85,6,7.2
33,8.2,6.7,,,-85,8.7,7.3
34,8.4,5.5,,,-68,8.8,6
35,9.3,4.3,,,-41,9.8,5
